author_id;author_name;coauthors;publication_title;abstract;venue
0b593c2203cd202f0a32f22c;Robert Allen;David Garlan,Robert Allen,John Ockerbloom;Architectural Mismatch: Why Reuse Is Still So Hard.;;IEEE Software
0b593c2203cd202f0a32f22c;Robert Allen;Robert Allen,David Garlan;Towards Formalized Software Architectures;;null
0b593c2203cd202f0a32f22c;Robert Allen;Robert Allen,David Garlan;A Case Study in Architectural Modelling: The AEGIS System;;Proceedings of the 8th International Workshop on Software Specification and Design
0b593c2203cd202f0a32f22c;Robert Allen;Robert Allen,David Garlan;Formal Connectors;;null
5d4bd811461909c9d0c80543;Robert Allen;Robert Allen;Writing device drivers with Turbo C;;MS-DOS system programming (2nd ed.)
f0553585d2e15c7f52cd28ad;Richard Taylor;Richard Taylor;Effective Prediction and its Computational Complexity;;CATS
eb7e37578d283c77f8e6084a;Richard Taylor;Paul Morgan,Richard Taylor,Japheth Hossell,George Bruce,Barry O'Rourke;Automated data cache placement for embedded VLIW ASIPs;;CODES+ISSS
5bfe95fc61fb9f450d6a01e3;Richard Taylor;Richard Taylor;An Integrity Check Value Algorithm for Stream Ciphers;;CRYPTO
eb7e37578d283c77f8e6084a;Richard Taylor;Paul Morgan,Richard Taylor;ASIP Instruction Encoding for Energy and Area Reduction;;DAC
eb7e37578d283c77f8e6084a;Richard Taylor;Ben I. Hounsell,Richard Taylor;Co-Processor Synthesis: A New Methodology for Embedded Software Acceleration;;DATE
e392664ccf09a51ce476dd24;Richard Taylor;Richard Taylor,Chris Tofts;Taking a RaSP to Enterprise Stakeholder Dissonance;;EDOC
5bfe95fc61fb9f450d6a01e3;Richard Taylor;Richard Taylor;Near Optimal Unconditionally Secure Authentication;;EUROCRYPT
f77ab2866398fe40d41f004d;Richard Taylor;Betty H. C. Cheng,David Garlan,Rogerio de Lemos,Jeff Magee,Richard Taylor,Stephen Fickas,Hausi A. Muller;Software engineering for adaptive and self-managing systems;;ICSE
f77ab2866398fe40d41f004d;Richard Taylor;Betty H. C. Cheng,Rogerio de Lemos,Stephen Fickas,David Garlan,Marin Litoiu,Jeff Magee,Hausi A. Muller,Richard Taylor;SEAMS 2007: Software Engineering for Adaptive and Self-Managing Systems;;ICSE Companion
e1a38fac120f701e345e7550;Richard Taylor;Chris Salzmann,Martin Funcell,Richard Taylor;Design for Test and the Cost of Quality;;ITC
e2b9a09a3d9ae0f7722d9dbe;Richard Taylor;Eugenio Zabala,Richard Taylor;Maritxu: Generic Visualization of Highly Parallel Processing;;Programming Environments for Parallel Computing
cab38b41587e966994df7e25;Richard Taylor;Richard Taylor;Concurrency in the Data Warehouse;;VLDB
72bbddd5c187df601c995e47;Richard Taylor;Adam Baumberg,Alex Lyons,Richard Taylor;3D S.O.M. - A Commercial Software Solution to 3D Scanning;;VVG
5bfe95fc61fb9f450d6a01e3;Richard Taylor;Richard Taylor,Ron Addie;An Algorithm for Calculating the Availability and Mean Time to Restore for Communication Through a Network;;Computer Networks and ISDN Systems
72bbddd5c187df601c995e47;Richard Taylor;Adam Baumberg,Alex Lyons,Richard Taylor;3D S.O.M. - A commercial software solution to 3D scanning;;Graphical Models
efbc25e2a293f45c599be541;Richard Taylor;Richard Taylor;Reconstructing degree sequences from k-vertex-deleted subgraphs;;Discrete Mathematics
479e5298e24e2e71d54a415a;Richard Taylor;Piergiuseppe Morone,Richard Taylor;Small World Dynamics and The Process of Knowledge Diffusion: The Case of The Metropolitan Area of Greater Santiago De Chile;;J. Artificial Societies and Social Simulation
f77ab2866398fe40d41f004d;Richard Taylor;Betty H. C. Cheng,Rogerio de Lemos,David Garlan,Holger Giese,Marin Litoiu,Jeff Magee,Hausi A. Muller,Richard Taylor;SEAMS 2009: Software engineering for adaptive and self-managing systems;;ICSE Companion
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor;ICSE 97 program update;;ACM SIGSOFT Software Engineering Notes
2072b455c6e9e5f8aa654c6c;Richard Taylor;Richard Taylor;Transputer communication link;;Microprocessors Microsystems
e2b9a09a3d9ae0f7722d9dbe;Richard Taylor;Eugenio Zabala,Richard Taylor;Process and processor interaction: architecture independent visualisation schema;;Environments and tools for parallel scientific computing
74779f3139db7d0f776e3e29;Richard Taylor;CIP Author Team,Richard Taylor,Derek Melber;MCSE Windows 2000 Network: Exam Cram Personal Trainer with CD-ROM;;null
74779f3139db7d0f776e3e29;Richard Taylor;Hank Carbeck,Richard Taylor,Derek Melber;MCSE Windows 2000 Network: Exam Cram;;null
33c92c277b21e9b59c67f07d;Richard Taylor;Bill Ray,Danny Ayers,Richard Taylor,Ronald Ashri;Professional Java Mobile Programming;;null
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor,David Redmiles;WebDAV;;ACM SIGSOFT Software Engineering Notes
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor,David Redmiles;Knowledge depot;;ACM SIGSOFT Software Engineering Notes
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor,David Redmiles;Chimera;;ACM SIGSOFT Software Engineering Notes
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor,David Redmiles;Expectation-driven event monitoring;;ACM SIGSOFT Software Engineering Notes
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor,David Redmiles;ArchStudio;;ACM SIGSOFT Software Engineering Notes
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor,David Redmiles;Argo/UML;;ACM SIGSOFT Software Engineering Notes
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor,David Redmiles;Endeavors;;ACM SIGSOFT Software Engineering Notes
f77ab2866398fe40d41f004d;Richard Taylor;Richard Taylor,David Redmiles;Arabica;;ACM SIGSOFT Software Engineering Notes
4999b7b967036f16cef41770;Richard Taylor;Don Goodeve,Richard Taylor;Communications coprocessor for the Acorn RISC machine;;Microprocessors Microsystems
f77ab2866398fe40d41f004d;Richard Taylor;Izhar Shy,Richard Taylor,Leon Osterweil;A metaphor and conceptual architecture for software development environments;;Proceedings of the international workshop on environments on Software engineering environments
3d2853286f1d52c958df8d9d;Richard Taylor;Richard Taylor;Concurrent programming in Occam;;Major advances in parallel processing
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Thomas Andreas Meyer,Norman Y. Foo,Rex Kwok,Dongmo Zhang;Logical Foundations of Negotiation: Outcome, Concession, and Adaptation;;AAAI
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Thomas Andreas Meyer,Kevin Lee,Richard Booth;Knowledge Integration for Description Logics;;AAAI
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Thomas Andreas Meyer,Kevin Lee,Richard Booth,Jeff Z. Pan;Finding Maximally Satisfiable Terminologies for the Description Logic ALC;;AAAI
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Dongmo Zhang,Norman Y. Foo,Thomas Andreas Meyer,Rex Kwok;Negotiation as Mutual Belief Revision;;AAAI
7384766d440ddbbbc37105dc;Thomas Meyer;Renate Klempien-Hinrichs,Thomas Meyer,Carolina von Totth;Collage Grammars for Collision-Free Growing of Objects in 3D Scenes;;AGTIVE
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Norman Y. Foo,Thomas Meyer,Gerhard Brewka;LPOD Answer Sets and Nash Equilibria;;ASIAN
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Zhi Qiang Zhuang,Maurice Pagnucco,Thomas Meyer;Implementing Iterated Belief Change Via Prime Implicates;;Australian Conference on Artificial Intelligence
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Louise Leenen,Anbulagan,Thomas Meyer,Aditya K. Ghose;Modeling and Solving Semiring Constraint Satisfaction Problems by Transformation to Weighted Semiring Max-SAT;;Australian Conference on Artificial Intelligence
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Kevin Lee,Thomas Meyer,Jeff Z. Pan,Richard Booth;Computing Maximally Satisfiable Terminologies for the Description Logic ALC with Cyclic Definitions;;Description Logics
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Laurent Perrussel,Jean-Marc Thevenin,Thomas Meyer;Mutual Enrichment for Agents Through Nested Belief Change: A Semantic Approach;;ECAI
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Richard Booth,Thomas Meyer;Equilibria in Social Belief Removal;;KR
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Katarina Britz,Johannes Heidema,Thomas Meyer;Semantic Preferential Subsumption;;KR
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Louise Leenen,Thomas Andreas Meyer,Peter Harvey,Aditya Ghose;A Relaxation of a Semiring Constraint Satisfaction Problem Using Combined Semirings;;PRICAI
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Thomas Andreas Meyer;Merging Epistemic States;;PRICAI
7384766d440ddbbbc37105dc;Thomas Meyer;Kolyang,Christoph Luth,Thomas Meyer,Burkhart Wolff;TAS and IsaWin: Generic Interfaces for Transformational Program Development and Theorem Proving;;TAPSOFT
7384766d440ddbbbc37105dc;Thomas Meyer;Thomas Meyer,Burkhart Wolff;Tactic-Based Optimized Compilation of Functional Programs;;TYPES
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Anne Cregan,Rolf Schwitter,Thomas Meyer;Sydney OWL Syntax - towards a Controlled Natural Language Syntax for OWL 1.1;;OWLED
ef1fcf7268ed5986ebefc318;Thomas Meyer;Thomas Meyer,Lidia Yamamoto,Christian F. Tschudin;An Artificial Chemistry for Networking;;BIOWIRE
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Richard Booth,Thomas Andreas Meyer;Admissible and Restrained Revision;;J. Artif. Intell. Res. (JAIR)
bc8b01ac67677747b1acbbd6;Thomas Meyer;Pascal Furet,Thomas Meyer,Peer Mittl,Heinz Fretz;Identification of cylin-dependent kinase 1 inhibitors of a new chemical type by structure-based design and database searching;;Journal of Computer-Aided Molecular Design
bc8b01ac67677747b1acbbd6;Thomas Meyer;Pascal Furet,Juerg Zimmermann,Hans-Georg Capraro,Thomas Meyer,Patricia Imbach;Structure-based design of potent CDK1 inhibitors derived from olomoucine;;Journal of Computer-Aided Molecular Design
90c513d59a7955e686d72987;Thomas Meyer;Rikard Bogvad,Thomas Meyer;On algorithmically checking whether a Hilbert series comes from a complete intersection;;J. Symb. Comput.
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Katarina Britz,Johannes Heidema,Thomas Meyer;Modelling Object Typicality in Description Logics;;Australasian Conference on Artificial Intelligence
3cc0dfe572a222f9565e847d;Thomas Meyer;Stefan K. Gehrig,Felix Eberli,Thomas Meyer;A Real-Time Low-Power Stereo Vision Engine Using Semi-Global Matching;;ICVS
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Richard Booth,Thomas Meyer,Ivan Jose Varzinczak;Next Steps in Propositional Horn Contraction;;IJCAI
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Richard Booth,Thomas Meyer,Chattrakul Sombattheera;A General Family of Preferential Belief Removal Operators;;J. Medical Systems
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Thomas Meyer,Mehmet A. Orgun;Proceedings of the 2005 Australasian Ontology Workshop - Volume 58;;"Conferences in Research and Practice in Information Technology Series; Vol. 172"
ef1fcf7268ed5986ebefc318;Thomas Meyer;Thomas Meyer,Daniel Schreckling,Christian Tschudin,Lidia Yamamoto;Robustness to Code and Data Deletion in Autocatalytic Quines;;Transactions on Computational Systems Biology X
ef1fcf7268ed5986ebefc318;Thomas Meyer;Thomas Meyer,Lidia Yamamoto,Christian Tschudin;A self-healing multipath routing protocol;;Proceedings of the 3rd International Conference on Bio-Inspired Models of Network, Information and Computing Sytems
1a2ed5143a9749c8f4b0c17b;Thomas Meyer;Mehmet A. Orgun,Thomas Meyer;Proceedings of the second Australasian workshop on Advances in ontologies - Volume 72;;"ACM International Conference Proceeding Series; Vol. 238"
cc7cf692e3e3a6bd672cd3b5;Thomas Meyer;Ralf Steinmetz,Thomas Meyer;Multimedia synchronization techniques: experiences based on different system structures;;ACM SIGCOMM Computer Communication Review
52d0c662199936590857d885;Rafael Alonso;Hua Li,Glena Greene,Rafael Alonso;Profile-Based Security Against Malicious Mobile Agents;;ADMA
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Jeffrey A. Bloom,Hua Li;Lessons from the implementation of an adaptive parts acquisition ePortal;;CIKM
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Hua Li;Model-guided information discovery for intelligence analysis;;CIKM
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Daniel Barbara,Hector Garcia-Molina,Soraya Abad;Quasi-Copies: Efficient Data Sharing for Information Retrieval Systems;;EDBT
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Sumit Ganguly;Query Optimization for Energy Efficiency in Mobile Environments;;FMLDO
52d0c662199936590857d885;Rafael Alonso;Kenneth Salem,Hector Garcia-Molina,Rafael Alonso;Altruistic Locking: A Strategy for Coping with Long Lived Transactions;;HPTS
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Luis L. Cova;Sharing Jobs Among Independently Owned Processors;;ICDCS
52d0c662199936590857d885;Rafael Alonso;Matt Blaze,Rafael Alonso;Dynamic Hierarchical Caching for Large-Scale Distributed File Systems;;ICDCS
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Daniel Barbara;Negotiating Data Access in Federated Database Systems;;ICDE
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Daniel Barbara,Steve Chon;Data Sharing in a Large Heterogeneous Environment;;ICDE
52d0c662199936590857d885;Rafael Alonso;Swarup Acharya,Rafael Alonso;The computational requirements of mobile machines;;ICECCS
52d0c662199936590857d885;Rafael Alonso;Yuh-Lin Chang,Wenjun Zeng,Ibrahim Kamel,Rafael Alonso;Integrated Image and Speech Analysis for Content-Based Video Indexing;;ICMCS
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Jeffrey A. Bloom,Hua Li,Chumki Basu;An adaptive nearest neighbor search for a parts acquisition ePortal;;KDD
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Eben M. Haber,Henry F. Korth;A Mobile Computer Interface for Heterogeneous Databases;;RIDE-IMS
52d0c662199936590857d885;Rafael Alonso;Patricia Simpson,Rafael Alonso;Data Caching in Information Retrieval Systems;;SIGIR
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Andrew W. Appel;An Advisor for Flexible Working Sets;;SIGMETRICS
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Henry F. Korth;Database System Issues in Nomadic Computing;;SIGMOD Conference
52d0c662199936590857d885;Rafael Alonso;Swarup Acharya,Rafael Alonso,Michael J. Franklin,Stanley B. Zdonik;Broadcast Disks: Data Management for Asymmetric Communications Environments;;SIGMOD Conference
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Luis L. Cova;Resource sharing in a distributed environment;;ACM SIGOPS European Workshop
52d0c662199936590857d885;Rafael Alonso;Luis L. Cova,Rafael Alonso,Daniel Barbara;Stashing as a fault-tolerant mechanism for distributed systems;;ACM SIGOPS European Workshop
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Daniel Barbara,Luis L. Cova;Using Stashing to Increase Node Autonomy in Distributed File Systems;;SRDS
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Kriton Kyrimis;A Process Migration Implementation for a Unix System;;USENIX Winter
52d0c662199936590857d885;Rafael Alonso;Matt Blaze,Rafael Alonso;Long-Term Caching Strategies for Very Large Distributed File Systems;;USENIX Summer
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Luis L. Cova;Managing Replicated Copies in Very Large Distributed Systems;;Workshop on the Management of Replicated Data
52d0c662199936590857d885;Rafael Alonso;H. Van Dyke Parunak,Paul Nielsen,Sven Brueckner,Rafael Alonso;Hybrid Multi-agent Systems: Integrating Swarming and BDI Agents;;ESOA
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Daniel Barbara,Ricardo Cordon,Hector Garcia-Molina,Jack Kent,Frank M. Pittelli;Distributed Computing Research at Princeton;;IEEE Database Eng. Bull.
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Hector Garcia-Molina,Kenneth Salem;Concurrency Control and Recovery for Global Procedures in Federated Database Systems;;IEEE Data Eng. Bull.
52d0c662199936590857d885;Rafael Alonso;Ayellet Tal,Rafael Alonso;Integration of Commit Protocols in Hetergeneous Databases;;Distributed and Parallel Databases
52d0c662199936590857d885;Rafael Alonso;Jin Jing,Ahmed K. Elmagarmid,Abdelsalam Helal,Rafael Alonso;Bit-Sequences: An Adaptive Cache Invalidation Method in Mobile Client/Server Environments;;MONET
903426cdf4fa305fcdf80f9b;Rafael Alonso;Rafael Alonso;Trade Press News;;SIGMOD Record
903426cdf4fa305fcdf80f9b;Rafael Alonso;Rafael Alonso;Trade Press News;;SIGMOD Record
903426cdf4fa305fcdf80f9b;Rafael Alonso;Rafael Alonso;Trade Press News - Announcement and Preface;;SIGMOD Record
903426cdf4fa305fcdf80f9b;Rafael Alonso;Rafael Alonso;Trade Press News;;SIGMOD Record
903426cdf4fa305fcdf80f9b;Rafael Alonso;Rafael Alonso;Trade Press News;;SIGMOD Record
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Yuh-Lin Chang,Liviu Iftode,V. S. Mani;Managing Video Data in a Mobile Environment;;SIGMOD Record
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso,Daniel Barbara,Hector Garcia-Molina;Data Caching Issues in an Information Retrieval System;;ACM Trans. Database Syst.
52d0c662199936590857d885;Rafael Alonso;Hua Li,Hector Munoz-Avila,Diane Bramsen,Chad Hogg,Rafael Alonso;Spatial Event Prediction by Combining Value Function Approximation and Case-Based Reasoning;;ICCBR
52d0c662199936590857d885;Rafael Alonso;Swarup Acharya,Rafael Alonso,Michael Franklin,Stanley Zdonik;Broadcast Disks: Data Management for Asymmetric Communication Environments;;null
52d0c662199936590857d885;Rafael Alonso;Rafael Alonso;Query optimization in distributed database systems through load balancing;;null
52d0c662199936590857d885;Rafael Alonso;Swarup Acharya,Rafael Alonso,Michael Franklin,Stanley Zdonik;Broadcast disks: data management for asymmetric communication environments;;Proceedings of the 1995 ACM SIGMOD international conference on Management of data
391be39453b3fa54aa2da15f;David Cooper;David Cooper,Benjamin Khoo,Brian R. von Konsky,Mike Robey;Java Implementation Verification Using Reverse Engineering;;ACSC
391be39453b3fa54aa2da15f;David Cooper;David Cooper,Mun Wai Chan,Gautam Mehra,Peter Woodward,Brian R. von Konsky,Michael C. Robey,Michael Harding;Using Dependence Graphs to Assist Manual and Automated Object Oriented Software Inspections;;ASWEC
637a3e47c9bd9cb88ec43a22;David Cooper;David Cooper,Bo Ewald;President's information technology advisory committee (PITAC): subcommittee on transforming the government;;DG.O
c59464ef613d2ed2fd32a62a;David Cooper;Yonghuai Liu,Marcos A. Rodrigues,David Cooper;Using Geometric Properties of Correspondence Vectors for the Registration of Free-Form Shapes;;ICPR
667b7ebf3b234eca5b27074a;David Cooper;Randi J. Rost,Jim Bushnell,David Cooper,Jerry Schneble,Lynn Thorsen-Jensen;Reading the fine print: what benchmarks don't tell you;;SIGGRAPH
8d17b45941c3a794650b4df7;David Cooper;David Cooper,Susan Stepney;Segregation with Communication;;ZB
8d17b45941c3a794650b4df7;David Cooper;Rosalind Barden,Susan Stepney,David Cooper;The Use of Z;;Z User Workshop
8d17b45941c3a794650b4df7;David Cooper;Susan Stepney,David Cooper;Formal Methods for Industrial Products;;ZB
8d17b45941c3a794650b4df7;David Cooper;Susan Stepney,David Cooper,Jim Woodcock;More Powerful Z Data Refinement: Pushing the State of the Art in Industrial Refinement;;ZUM
712d9a47ac7a6bf1eedf1fb8;David Cooper;Nedelina Tchangalova,David Cooper;E-Publishing Portal: A New Approach to Faculty Outreach;;ELPUB
8d17b45941c3a794650b4df7;David Cooper;Susan Stepney,Dave Whitely,David Cooper,Colin Grant;A Demonstrably Correct Compiler;;Formal Asp. Comput.
8d17b45941c3a794650b4df7;David Cooper;Jim Woodcock,Susan Stepney,David Cooper,John A. Clark,Jeremy Jacob;The certification of the Mondex electronic purse to ITSEC Level E6;;Formal Asp. Comput.
